symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
TJX,Unknown,2017-09-13,806,32.6606,111,30.14,30.14,32.28,30.0,30.14,1,,812.0,False,2017-09-12,272053776.85,32.5483,2017-09-21,32.0955,model_decay,-1.73
QRVO,Unknown,2017-10-04,694,71.091,51,65.4037,65.4037,70.27,30.0,64.7,3,,706.0,False,2017-10-03,77070129.15,72.16,2017-10-20,70.0599,model_decay,-1.45
DLR,Unknown,2017-10-02,819,88.0302,41,81.39,81.39,86.96,30.0,81.39,2,,835.0,False,2017-09-29,199484758.04,87.7941,2017-10-24,89.0982,model_decay,1.21
PRGO,Unknown,2017-10-03,820,67.47,53,62.0724,62.0724,62.07,30.0,59.17,2,,835.0,False,2017-10-02,104962421.61,67.0605,2017-10-24,66.6905,model_decay,-1.16
AMAT,Unknown,2017-10-10,825,48.2893,46,44.4262,44.4262,44.13,30.0,41.45,1,,837.0,False,2017-10-09,526071680.94,47.8228,2017-10-26,50.573,model_decay,4.73
SO,Unknown,2017-10-09,824,34.7552,244,33.4,33.4,34.66,70.0,33.4,1,,845.0,False,2017-10-06,169419666.11,34.7766,2017-11-07,36.1903,model_decay,4.13
EQT,Unknown,2017-11-10,848,32.9207,208,30.37,30.37,32.48,56.7,30.37,1,,,False,2017-11-09,239474804.58,32.5681,2017-11-14,30.3396,stop,-7.84
WMB,Unknown,2017-09-05,800,18.7845,452,17.2817,17.2817,18.47,70.0,17.2,2,,,False,2017-09-01,72685118.62,18.7533,2017-11-15,17.2598,stop,-8.12
AMAT,Unknown,2017-11-14,850,51.7302,69,47.5918,47.5918,44.13,30.0,41.45,2,,852.0,False,2017-11-13,452692235.99,51.3056,2017-11-16,51.1998,model_decay,-1.03
CB,Unknown,2017-11-09,847,129.1556,28,120.78,120.78,126.06,30.0,120.78,1,,853.0,False,2017-11-08,205135582.85,130.6725,2017-11-17,127.5718,model_decay,-1.23
SO,Unknown,2017-11-15,851,36.6975,228,33.7617,33.7617,34.66,70.0,33.4,2,,854.0,False,2017-11-14,154268328.76,36.3666,2017-11-20,36.1248,model_decay,-1.56
SWKS,Unknown,2017-11-22,856,90.2338,109,83.0151,83.0151,88.27,100.0,82.36,1,,857.0,False,2017-11-21,226298592.1,88.7939,2017-11-24,88.8113,model_decay,-1.58
SO,Unknown,2017-11-22,856,36.417,212,33.5036,33.5036,34.66,70.0,33.4,3,,861.0,False,2017-11-21,152918013.66,36.3806,2017-11-30,36.238,model_decay,-0.49
PRGO,Unknown,2017-11-30,861,69.067,52,63.5416,63.5416,62.07,30.0,59.17,3,,865.0,False,2017-11-29,93128360.62,67.9308,2017-12-06,65.0071,model_decay,-5.88
SYY,Unknown,2017-11-20,854,43.8077,191,40.3031,40.3031,42.03,70.0,39.67,1,,871.0,False,2017-11-17,112633275.68,43.8357,2017-12-14,49.0258,model_decay,11.91
CB,Unknown,2017-11-28,859,129.1815,27,120.78,120.78,126.06,30.0,120.78,2,,871.0,False,2017-11-27,169996292.19,130.6122,2017-12-14,127.787,model_decay,-1.08
JEF,Unknown,2017-11-30,861,18.7512,447,17.48,17.48,18.23,70.0,17.48,1,,871.0,False,2017-11-29,26488239.97,18.39,2017-12-14,17.9727,model_decay,-4.15
PRU,Unknown,2017-12-18,873,77.6272,127,71.4171,71.4171,75.1,100.0,71.19,1,,878.0,False,2017-12-15,131652854.18,77.0389,2017-12-26,77.1076,model_decay,-0.67
ESRX,Unknown,2017-12-26,877,74.8047,47,68.8204,68.8204,62.9,30.0,60.63,1,,881.0,False,2017-12-22,341992645.71,74.99,2018-01-02,74.915,model_decay,0.15
SYY,Unknown,2017-12-28,880,48.6371,172,44.7461,44.7461,42.03,70.0,39.67,2,,882.0,False,2017-12-27,138458913.07,48.6922,2018-01-02,48.3487,model_decay,-0.59
CB,Unknown,2017-12-29,881,127.1423,28,120.78,120.78,126.06,30.0,120.78,3,,883.0,False,2017-12-28,193724013.9,126.539,2018-01-03,122.7619,model_decay,-3.45
DLR,Unknown,2017-11-01,841,88.1712,41,81.39,81.39,86.96,30.0,81.39,3,,,False,2017-10-31,110347984.02,86.6675,2018-01-11,81.3086,stop,-7.78
JEF,Unknown,2017-12-22,877,18.5847,450,17.48,17.48,18.23,70.0,17.48,2,,892.0,False,2017-12-21,43990258.88,18.3907,2018-01-17,19.4167,model_decay,4.48
PRU,Unknown,2018-01-05,885,77.5941,127,71.3866,71.3866,75.1,100.0,71.19,2,,892.0,False,2018-01-04,121409530.99,78.0739,2018-01-17,81.4025,model_decay,4.91
AES,Unknown,2018-01-19,894,8.368,432,7.6985,7.6985,7.91,30.0,7.57,1,,898.0,False,2018-01-18,60141525.84,8.475,2018-01-25,8.0343,model_decay,-3.99
