symbol,signal_date,period,pit_member,facts_cached,event_available,filed,event_age_days,fresh_120d,form,accession,eps_growth,revenue_growth,revenue_tag
CCI,2016-02-16,outside_experiment,True,True,True,2015-11-06,102,True,10-Q,0001051470-15-000128,-0.0344827586206895,0.028250061878208,SalesRevenueNet
CCI,2020-02-11,internal_holdout,True,True,True,2019-11-04,99,True,10-Q,0001051470-19-000179,0.7575757575757573,0.32984293193717273,RevenueFromContractWithCustomerExcludingAssessedTax
CCL,2015-06-25,outside_experiment,True,True,True,2010-07-01,1820,False,10-Q,0001193125-10-152337,-0.030303030303030276,0.08378561736770695,Revenues
CCL,2015-06-26,outside_experiment,True,True,True,2010-07-01,1821,False,10-Q,0001193125-10-152337,-0.030303030303030276,0.08378561736770695,Revenues
CCL,2019-06-21,calibration,True,True,True,2019-04-09,73,True,10-Q,0000815097-19-000011,-0.11111111111111116,0.1042060491493384,RevenueFromContractWithCustomerExcludingAssessedTax
CCL,2020-02-04,internal_holdout,True,True,True,2020-01-28,7,True,10-K,0000815097-20-000003,-0.027027027027027084,0.10296064827074836,RevenueFromContractWithCustomerExcludingAssessedTax
CDW,2018-12-26,outside_experiment,False,True,False,,,False,,,,,
CDW,2021-11-30,internal_holdout,True,True,True,2021-11-03,27,True,10-Q,0001402057-21-000153,0.43609022556390964,0.1142881170633252,RevenueFromContractWithCustomerExcludingAssessedTax
CE,2019-08-07,outside_experiment,True,True,True,2019-07-23,15,True,10-Q,0001306830-19-000165,-0.3412698412698413,-0.1366594360086768,RevenueFromContractWithCustomerExcludingAssessedTax
CF,2016-11-03,fit,True,True,True,2016-08-04,91,True,10-Q,0001324404-16-000036,-0.8657718120805369,-0.13501144164759726,SalesRevenueNet
CF,2016-11-10,fit,True,True,True,2016-08-04,98,True,10-Q,0001324404-16-000036,-0.8657718120805369,-0.13501144164759726,SalesRevenueNet
CF,2017-08-28,fit,True,True,True,2017-08-03,25,True,10-Q,0001324404-17-000019,-0.95,-0.00881834215167554,SalesRevenueNet
CF,2020-09-02,internal_holdout,True,True,True,2020-08-06,27,True,10-Q,0001324404-20-000019,-0.3046875,-0.1984021304926764,Revenues
CF,2021-03-08,internal_holdout,True,True,True,2021-02-24,12,True,10-K,0001324404-21-000008,-0.34080717488789236,-0.10152505446623095,Revenues
CFG,2020-10-20,internal_holdout,True,True,True,2020-08-06,75,True,10-Q,0000759944-20-000082,-0.44210526315789467,-0.23825503355704702,RevenueFromContractWithCustomerExcludingAssessedTax
CHRW,2015-02-04,outside_experiment,True,True,True,2014-11-10,86,True,10-Q,0001043277-14-000018,0.23188405797101463,0.04543630423934886,Revenues
CHTR,2015-10-23,outside_experiment,False,True,False,,,False,,,,,
CHTR,2016-03-14,outside_experiment,False,True,False,,,False,,,,,
CHTR,2017-07-31,fit,True,True,True,2017-07-27,4,True,10-Q,0001091667-17-000095,-0.965721819380356,0.6810582697614023,Revenues
CHTR,2018-02-08,fit,True,True,True,2018-02-02,6,True,10-K,0001091667-18-000025,1.1386449184441658,0.4336792745578044,Revenues
CL,2020-02-11,internal_holdout,True,True,True,2019-11-01,102,True,10-Q,0000021665-19-000022,0.1166666666666667,0.021586475942782846,RevenueFromContractWithCustomerExcludingAssessedTax
CLX,2020-03-02,internal_holdout,True,True,True,2020-02-04,27,True,10-Q,0000021076-20-000004,0.04285714285714293,-0.016293279022403295,RevenueFromContractWithCustomerExcludingAssessedTax
CLX,2020-03-05,internal_holdout,True,True,True,2020-02-04,30,True,10-Q,0000021076-20-000004,0.04285714285714293,-0.016293279022403295,RevenueFromContractWithCustomerExcludingAssessedTax
CMCSA,2018-10-25,outside_experiment,True,True,True,2018-07-26,91,True,10-Q,0001166691-18-000019,0.32692307692307687,0.021093676594944988,Revenues
CME,2019-08-09,outside_experiment,True,True,True,2019-08-07,2,True,10-Q,0001156375-19-000087,-0.13855421686746983,0.2011136277840695,Revenues
CMG,2018-04-26,fit,True,True,False,,,False,,,,,
CMG,2019-02-21,calibration,True,True,True,2019-02-08,13,True,10-K,0001058090-19-000007,0.02269043760129663,0.08680456579957352,Revenues
CMG,2019-07-29,outside_experiment,True,True,True,2019-07-24,5,True,10-Q,0001058090-19-000029,0.916666666666667,0.13241875375043421,Revenues
CMI,2016-03-10,outside_experiment,True,True,True,2016-02-12,27,True,10-K,0000026172-16-000033,-0.13082039911308196,-0.00577493366630244,SalesRevenueNet
CMI,2016-03-11,outside_experiment,True,True,True,2016-02-12,28,True,10-K,0000026172-16-000033,-0.13082039911308196,-0.00577493366630244,SalesRevenueNet
CMI,2018-10-30,outside_experiment,True,True,True,2018-07-31,91,True,10-Q,0000026172-18-000039,0.31225296442687744,0.20756203229617953,SalesRevenueNet
CMI,2018-11-08,outside_experiment,True,True,True,2018-10-30,9,True,10-Q,0000026172-18-000045,0.5793357933579337,0.12450331125827807,Revenues
CMI,2018-11-09,outside_experiment,True,True,True,2018-10-30,10,True,10-Q,0000026172-18-000045,0.5793357933579337,0.12450331125827807,Revenues
CMI,2018-11-14,outside_experiment,True,True,True,2018-10-30,15,True,10-Q,0000026172-18-000045,0.5793357933579337,0.12450331125827807,Revenues
CMI,2018-11-15,outside_experiment,True,True,True,2018-10-30,16,True,10-Q,0000026172-18-000045,0.5793357933579337,0.12450331125827807,Revenues
